start_region,end_region,letter_association
VolarProximal,VolarProximal,TI_Apps_4
VolarIntermediate,VolarIntermediate,TI_Chats_5
VolarDistal,VolarDistal,TI_Call_1
RadialProximal,RadialProximal,TI_Music_3
RadialIntermediate,RadialIntermediate,TI_Map_6
RadialDistal,RadialDistal,TI_Climate_2
VolarProximal,VolarIntermediate,Radio_4
VolarProximal,VolarDistal,Instagram_4
VolarProximal,RadialProximal,Spotify_4
VolarProximal,RadialIntermediate,Whatsapp_4
VolarProximal,RadialDistal,Podcast_4
VolarIntermediate,VolarProximal,ContactList_5
VolarIntermediate,VolarDistal,Reply_5
VolarIntermediate,RadialProximal,SpeechToText_5
VolarIntermediate,RadialIntermediate,Keyboard_5
VolarIntermediate,RadialDistal,Send_5
VolarDistal,VolarProximal,CallReject_1
VolarDistal,VolarIntermediate,CallReply_1
VolarDistal,RadialProximal,CallingPerson_1
VolarDistal,RadialIntermediate,CallAccept_1
VolarDistal,RadialDistal,MuteMic_1
RadialProximal,VolarProximal,VolumePlus_3
RadialProximal,VolarIntermediate,NextSong_3
RadialProximal,VolarDistal,Play_3
RadialProximal,RadialIntermediate,VolumeMinus_3
RadialProximal,RadialDistal,Pause_3
RadialIntermediate,VolarProximal,Work_6
RadialIntermediate,VolarIntermediate,Search_6
RadialIntermediate,VolarDistal,Destination_6
RadialIntermediate,RadialProximal,Recenter_6
RadialIntermediate,RadialDistal,Home_6
RadialDistal,VolarProximal,SteeringHeater_2
RadialDistal,VolarIntermediate,CarSeatHeater_2
RadialDistal,VolarDistal,Heater_2
RadialDistal,RadialProximal,AC_2
RadialDistal,RadialIntermediate,Air_2
