start_region,end_region,letter_association
VolarProximal,VolarProximal,TI_Call_1
VolarIntermediate,VolarIntermediate,TI_Climate_2
VolarDistal,VolarDistal,TI_Apps_4
RadialProximal,RadialProximal,TI_Map_6
RadialIntermediate,RadialIntermediate,TI_Music_3
RadialDistal,RadialDistal,TI_Chats_5
VolarProximal,VolarIntermediate,CallAccept_1
VolarProximal,VolarDistal,MuteMic_1
VolarProximal,RadialProximal,CallReject_1
VolarProximal,RadialIntermediate,CallReply_1
VolarProximal,RadialDistal,CallingPerson_1
VolarIntermediate,VolarProximal,CarSeatHeater_2
VolarIntermediate,VolarDistal,Heater_2
VolarIntermediate,RadialProximal,SteeringHeater_2
VolarIntermediate,RadialIntermediate,AC_2
VolarIntermediate,RadialDistal,Air_2
VolarDistal,VolarProximal,Podcast_4
VolarDistal,VolarIntermediate,Radio_4
VolarDistal,RadialProximal,Instagram_4
VolarDistal,RadialIntermediate,Spotify_4
VolarDistal,RadialDistal,Whatsapp_4
RadialProximal,VolarProximal,Destination_6
RadialProximal,VolarIntermediate,Work_6
RadialProximal,VolarDistal,Recenter_6
RadialProximal,RadialIntermediate,Home_6
RadialProximal,RadialDistal,Search_6
RadialIntermediate,VolarProximal,Pause_3
RadialIntermediate,VolarIntermediate,VolumePlus_3
RadialIntermediate,VolarDistal,Play_3
RadialIntermediate,RadialProximal,VolumeMinus_3
RadialIntermediate,RadialDistal,NextSong_3
RadialDistal,VolarProximal,SpeechToText_5
RadialDistal,VolarIntermediate,Keyboard_5
RadialDistal,VolarDistal,Reply_5
RadialDistal,RadialProximal,Send_5
RadialDistal,RadialIntermediate,ContactList_5
